FactId,FACTName,BussinessApp,VeracodeApp,VeracodeTEAMSName,SonarAppName,Technology,GitRepo,DeploymentType,ENV_Props_Folder,Environment,JobType,ArtifactoryUploadPath,GitBranch,server,credential
FACT0804,EAS1,TFS-MuleAPIs-ALM-DealerDirect-Services  ,Not required,Not required,,Mulesoft,https://github.tfs.toyota.com/EAS-Channel-Access-Services/TFS-MuleAPIs-ALM-DealerDirect-Services.git,Jar,,Dev,BUILD_DEPLOY,https://artifactory.tfs.toyota.com/artifactory/easc-maven-prod-local/artifacts/alm-dealerdirect-services.jar,,AnyPoint,srv_easc_app
FACT0804,EAS1,TFS-MuleAPIs-API-Analytics  ,Not required,Not required,,Mulesoft,https://github.tfs.toyota.com/EAS-Channel-Access-Services/TFS-MuleAPIs-API-Analytics.git,Jar,,Dev,BUILD_DEPLOY,https://artifactory.tfs.toyota.com/artifactory/easc-maven-prod-local/artifacts/api-analytics.jar,,AnyPoint,srv_easc_app
FACT0804,EAS1,TFS-MuleAPIs-API-CustomerDeals  ,Not required,Not required,,Mulesoft,https://github.tfs.toyota.com/EAS-Channel-Access-Services/TFS-MuleAPIs-API-CustomerDeals.git,Jar,,Dev,BUILD_DEPLOY,https://artifactory.tfs.toyota.com/artifactory/easc-maven-prod-local/artifacts/api-customerdeals.jar,,AnyPoint,srv_easc_app
FACT0804,EAS1,TFS-MuleAPIs-API-SFDCAuthentication  ,Not required,Not required,,Mulesoft,https://github.tfs.toyota.com/EAS-Channel-Access-Services/TFS-MuleAPIs-API-SFDCAuthentication.git,Jar,,Dev,BUILD_DEPLOY,https://artifactory.tfs.toyota.com/artifactory/easc-maven-prod-local/artifacts/api-sfdcauthentication.jar,,AnyPoint,srv_easc_app
FACT0804,EAS1,TFS-MuleAPIs-APIGW-OAuth-Router  ,Not required,Not required,,Mulesoft,https://github.tfs.toyota.com/EAS-Channel-Access-Services/TFS-MuleAPIs-APIGW-OAuth-Router.git,Jar,,Dev,BUILD_DEPLOY,https://artifactory.tfs.toyota.com/artifactory/easc-maven-prod-local/artifacts/apigw-oauth-router.jar,,AnyPoint,srv_easc_app
FACT0804,EAS1,TFS-MuleAPIs-APIGW-Router  ,Not required,Not required,,Mulesoft,https://github.tfs.toyota.com/EAS-Channel-Access-Services/TFS-MuleAPIs-APIGW-Router.git,Jar,,Dev,BUILD_DEPLOY,https://artifactory.tfs.toyota.com/artifactory/easc-maven-prod-local/artifacts/apigw-router.jar,,AnyPoint,srv_easc_app
FACT0804,EAS1,TFS-MuleAPIs-ASPInspectionServices  ,Not required,Not required,,Mulesoft,https://github.tfs.toyota.com/EAS-Channel-Access-Services/TFS-MuleAPIs-ASPInspectionServices.git,Jar,,Dev,BUILD_DEPLOY,https://artifactory.tfs.toyota.com/artifactory/easc-maven-prod-local/artifacts/aspinspectionservices.jar,,AnyPoint,srv_easc_app
FACT0804,EAS1,TFS-MuleAPIs-ASPInspectionServices-Proxy  ,Not required,Not required,,Mulesoft,https://github.tfs.toyota.com/EAS-Channel-Access-Services/TFS-MuleAPIs-ASPInspectionServices-Proxy.git,Jar,,Dev,BUILD_DEPLOY,https://artifactory.tfs.toyota.com/artifactory/easc-maven-prod-local/artifacts/aspinspectionservices-proxy.jar,,AnyPoint,srv_easc_app
FACT0804,EAS1,TFS-MuleAPIs-ASPmLogic-Services  ,Not required,Not required,,Mulesoft,https://github.tfs.toyota.com/EAS-Channel-Access-Services/TFS-MuleAPIs-ASPmLogic-Services.git,Jar,,Dev,BUILD_DEPLOY,https://artifactory.tfs.toyota.com/artifactory/easc-maven-prod-local/artifacts/aspmlogic-services.jar,,AnyPoint,srv_easc_app
FACT0804,EAS1,TFS-MuleAPIs-ASPrunbuggy-Services  ,Not required,Not required,,Mulesoft,https://github.tfs.toyota.com/EAS-Channel-Access-Services/TFS-MuleAPIs-ASPrunbuggy-Services.git,Jar,,Dev,BUILD_DEPLOY,https://artifactory.tfs.toyota.com/artifactory/easc-maven-prod-local/artifacts/asprunbuggy-services.jar,,AnyPoint,srv_easc_app
FACT0804,EAS1,TFS-MuleAPIs-Asset-Management-Services  ,Not required,Not required,,Mulesoft,https://github.tfs.toyota.com/EAS-Channel-Access-Services/TFS-MuleAPIs-Asset-Management-Services.git,Jar,,Dev,BUILD_DEPLOY,https://artifactory.tfs.toyota.com/artifactory/easc-maven-prod-local/artifacts/asset-management-services.jar,,AnyPoint,srv_easc_app
FACT0804,EAS1,TFS-MuleAPIs-ATOM_MarketData-proxy  ,Not required,Not required,,Mulesoft,https://github.tfs.toyota.com/EAS-Channel-Access-Services/TFS-MuleAPIs-ATOM_MarketData-proxy.git,Jar,,Dev,BUILD_DEPLOY,https://artifactory.tfs.toyota.com/artifactory/easc-maven-prod-local/artifacts/atom-marketdata-proxy.jar,,AnyPoint,srv_easc_app
FACT0804,EAS1,TFS-MuleAPIs-AuctionSalesPlatform  ,Not required,Not required,,Mulesoft,https://github.tfs.toyota.com/EAS-Channel-Access-Services/TFS-MuleAPIs-AuctionSalesPlatform.git,Jar,,Dev,BUILD_DEPLOY,https://artifactory.tfs.toyota.com/artifactory/easc-maven-prod-local/artifacts/auctionsalesplatform.jar,,AnyPoint,srv_easc_app
